TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,ans,bll,lf
Punishment,MostlyPunishment,j,1309,2,18,3,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1268,3,19,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1253,4,20,3,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1262,5,21,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1204,6,22,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1252,7,23,3,0.05,0.5,0.5
Reward,MostlyReward,j,1264,0,24,3,0.05,0.5,0.5
Reward,MostlyReward,j,1214,1,25,3,0.05,0.5,0.5
Punishment,MostlyReward,f,1143,2,26,3,0.05,0.5,0.5
Reward,MostlyReward,j,1196,3,27,3,0.05,0.5,0.5
Punishment,MostlyReward,f,1133,4,28,3,0.05,0.5,0.5
Reward,MostlyReward,j,1194,5,29,3,0.05,0.5,0.5
Reward,MostlyReward,j,1196,6,30,3,0.05,0.5,0.5
Reward,MostlyReward,f,1123,7,31,3,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1118,0,32,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1163,1,33,3,0.05,0.5,0.5
Reward,MostlyPunishment,j,1188,2,34,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1173,3,35,3,0.05,0.5,0.5
Reward,MostlyPunishment,j,1174,4,36,3,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1116,5,37,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1161,6,38,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1162,7,39,3,0.05,0.5,0.5
Reward,MostlyReward,f,1120,0,40,3,0.05,0.5,0.5
Neutral,MostlyReward,f,1104,1,41,3,0.05,0.5,0.5
Reward,MostlyReward,j,1185,2,42,3,0.05,0.5,0.5
Reward,MostlyReward,j,1187,3,43,3,0.05,0.5,0.5
Reward,MostlyReward,f,1111,4,44,3,0.05,0.5,0.5
Reward,MostlyReward,f,1116,5,45,3,0.05,0.5,0.5
Neutral,MostlyReward,f,1102,6,46,3,0.05,0.5,0.5
Reward,MostlyReward,f,1104,7,47,3,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1111,0,48,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1180,1,49,3,0.05,0.5,0.5
Reward,MostlyPunishment,j,1163,2,50,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1160,3,51,3,0.05,0.5,0.5
Reward,MostlyPunishment,j,1161,4,52,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1162,5,53,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1163,6,54,3,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1157,7,55,3,0.05,0.5,0.5
Reward,MostlyReward,f,1099,0,56,3,0.05,0.5,0.5
Reward,MostlyReward,f,1118,1,57,3,0.05,0.5,0.5
Punishment,MostlyReward,j,1137,2,58,3,0.05,0.5,0.5
Reward,MostlyReward,j,1151,3,59,3,0.05,0.5,0.5
Punishment,MostlyReward,f,1100,4,60,3,0.05,0.5,0.5
Reward,MostlyReward,j,1139,5,61,3,0.05,0.5,0.5
Reward,MostlyReward,j,1154,6,62,3,0.05,0.5,0.5
Reward,MostlyReward,j,1134,7,63,3,0.05,0.5,0.5
Reward,MostlyReward,j,1096,0,0,4,0.05,0.5,0.5
Reward,MostlyReward,j,1269,1,1,4,0.05,0.5,0.5
Punishment,MostlyReward,f,1643,2,2,4,0.05,0.5,0.5
Reward,MostlyReward,f,1560,3,3,4,0.05,0.5,0.5
Reward,MostlyReward,f,1356,4,4,4,0.05,0.5,0.5
Reward,MostlyReward,f,1281,5,5,4,0.05,0.5,0.5
Neutral,MostlyReward,f,1234,6,6,4,0.05,0.5,0.5
Reward,MostlyReward,j,1314,7,7,4,0.05,0.5,0.5
Reward,MostlyPunishment,j,1337,0,8,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1210,1,9,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1196,2,10,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1252,3,11,4,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1266,4,12,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1168,5,13,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1205,6,14,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1258,7,15,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1255,0,16,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1157,1,17,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1296,2,18,4,0.05,0.5,0.5
Neutral,MostlyPunishment,f,1157,3,19,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1142,4,20,4,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1259,5,21,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1271,6,22,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1236,7,23,4,0.05,0.5,0.5
Reward,MostlyReward,j,1260,0,24,4,0.05,0.5,0.5
Reward,MostlyReward,j,1241,1,25,4,0.05,0.5,0.5
Punishment,MostlyReward,f,1168,2,26,4,0.05,0.5,0.5
Reward,MostlyReward,j,1205,3,27,4,0.05,0.5,0.5
Punishment,MostlyReward,j,1176,4,28,4,0.05,0.5,0.5
Reward,MostlyReward,j,1212,5,29,4,0.05,0.5,0.5
Reward,MostlyReward,j,1187,6,30,4,0.05,0.5,0.5
Reward,MostlyReward,f,1126,7,31,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1198,0,32,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1115,1,33,4,0.05,0.5,0.5
Reward,MostlyPunishment,j,1182,2,34,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1162,3,35,4,0.05,0.5,0.5
Reward,MostlyPunishment,j,1173,4,36,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1112,5,37,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1113,6,38,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1175,7,39,4,0.05,0.5,0.5
Reward,MostlyReward,j,1150,0,40,4,0.05,0.5,0.5
Neutral,MostlyReward,j,1154,1,41,4,0.05,0.5,0.5
Reward,MostlyReward,f,1106,2,42,4,0.05,0.5,0.5
Reward,MostlyReward,f,1116,3,43,4,0.05,0.5,0.5
Reward,MostlyReward,f,1099,4,44,4,0.05,0.5,0.5
Reward,MostlyReward,j,1154,5,45,4,0.05,0.5,0.5
Neutral,MostlyReward,j,1153,6,46,4,0.05,0.5,0.5
Reward,MostlyReward,f,1113,7,47,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1175,0,48,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1169,1,49,4,0.05,0.5,0.5
Reward,MostlyPunishment,j,1159,2,50,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1157,3,51,4,0.05,0.5,0.5
Reward,MostlyPunishment,f,1107,4,52,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1158,5,53,4,0.05,0.5,0.5
Punishment,MostlyPunishment,f,1096,6,54,4,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1158,7,55,4,0.05,0.5,0.5
Reward,MostlyReward,f,1099,0,56,4,0.05,0.5,0.5
Reward,MostlyReward,f,1090,1,57,4,0.05,0.5,0.5
Punishment,MostlyReward,j,1149,2,58,4,0.05,0.5,0.5
Reward,MostlyReward,j,1141,3,59,4,0.05,0.5,0.5
Punishment,MostlyReward,f,1102,4,60,4,0.05,0.5,0.5
Reward,MostlyReward,f,1091,5,61,4,0.05,0.5,0.5
Reward,MostlyReward,f,1097,6,62,4,0.05,0.5,0.5
Reward,MostlyReward,f,1088,7,63,4,0.05,0.5,0.5
Reward,MostlyReward,j,1030,0,0,5,0.05,0.5,0.5
Reward,MostlyReward,j,1622,1,1,5,0.05,0.5,0.5
Punishment,MostlyReward,j,1179,2,2,5,0.05,0.5,0.5
Reward,MostlyReward,j,1714,3,3,5,0.05,0.5,0.5
Reward,MostlyReward,j,1165,4,4,5,0.05,0.5,0.5
Reward,MostlyReward,j,1166,5,5,5,0.05,0.5,0.5
Neutral,MostlyReward,j,1146,6,6,5,0.05,0.5,0.5
Reward,MostlyReward,j,1823,7,7,5,0.05,0.5,0.5
Reward,MostlyPunishment,j,1145,0,8,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1120,1,9,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1119,2,10,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1676,3,11,5,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1603,4,12,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1144,5,13,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1551,6,14,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1442,7,15,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1113,0,16,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1112,1,17,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1432,2,18,5,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1435,3,19,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1388,4,20,5,0.05,0.5,0.5
Neutral,MostlyPunishment,j,1405,5,21,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1371,6,22,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1320,7,23,5,0.05,0.5,0.5
Reward,MostlyReward,j,1091,0,24,5,0.05,0.5,0.5
Reward,MostlyReward,j,1330,1,25,5,0.05,0.5,0.5
Punishment,MostlyReward,j,1114,2,26,5,0.05,0.5,0.5
Reward,MostlyReward,j,1109,3,27,5,0.05,0.5,0.5
Punishment,MostlyReward,j,1122,4,28,5,0.05,0.5,0.5
Reward,MostlyReward,j,1102,5,29,5,0.05,0.5,0.5
Reward,MostlyReward,j,1107,6,30,5,0.05,0.5,0.5
Reward,MostlyReward,j,1338,7,31,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1119,0,32,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1096,1,33,5,0.05,0.5,0.5
Reward,MostlyPunishment,j,1307,2,34,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1308,3,35,5,0.05,0.5,0.5
Reward,MostlyPunishment,j,1094,4,36,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1097,5,37,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1104,6,38,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1293,7,39,5,0.05,0.5,0.5
Reward,MostlyReward,j,1095,0,40,5,0.05,0.5,0.5
Neutral,MostlyReward,j,1093,1,41,5,0.05,0.5,0.5
Reward,MostlyReward,j,1094,2,42,5,0.05,0.5,0.5
Reward,MostlyReward,j,1086,3,43,5,0.05,0.5,0.5
Reward,MostlyReward,j,1090,4,44,5,0.05,0.5,0.5
Reward,MostlyReward,j,1092,5,45,5,0.05,0.5,0.5
Neutral,MostlyReward,j,1310,6,46,5,0.05,0.5,0.5
Reward,MostlyReward,j,1286,7,47,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1081,0,48,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1285,1,49,5,0.05,0.5,0.5
Reward,MostlyPunishment,j,1258,2,50,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1093,3,51,5,0.05,0.5,0.5
Reward,MostlyPunishment,j,1254,4,52,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1093,5,53,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1259,6,54,5,0.05,0.5,0.5
Punishment,MostlyPunishment,j,1082,7,55,5,0.05,0.5,0.5
Reward,MostlyReward,j,1253,0,56,5,0.05,0.5,0.5
Reward,MostlyReward,j,1088,1,57,5,0.05,0.5,0.5
Punishment,MostlyReward,j,1077,2,58,5,0.05,0.5,0.5
Reward,MostlyReward,j,1266,3,59,5,0.05,0.5,0.5
Punishment,MostlyReward,j,1100,4,60,5,0.05,0.5,0.5
Reward,MostlyReward,j,1076,5,61,5,0.05,0.5,0.5
Reward,MostlyReward,j,1264,6,62,5,0.05,0.5,0.5
Reward,MostlyReward,j,1078,7,63,5,0.05,0.5,0.5
Reward,MostlyReward,j,1111,0,0,6,0.05,0.5,0.5
Reward,MostlyReward,j,1436,1,1,6,0.05,0.5,0.5
Punishment,MostlyReward,j,1328,2,2,6,0.05,0.5,0.5
Reward,MostlyReward,j,1277,3,3,6,0.05,0.5,0.5
Reward,MostlyReward,j,1197,4,4,6,0.05,0.5,0.5
Reward,MostlyReward,j,1183,5,5,6,0.05,0.5,0.5
Neutral,MostlyReward,j,1165,6,6,6,0.05,0.5,0.5
